logFC	logCPM	PValue	FDR
ENSG00000183762	15.6712627414767	6.85118679156481	0	0
ENSG00000100219	15.1885961943074	6.36861654946506	0	0
ENSG00000214736	13.6625750949759	4.84435164124346	0	0
ENSG00000213689	13.1792626548916	4.36113027800112	0	0
ENSG00000086506	10.9938504871176	9.57853136425365	0	0
ENSG00000163464	10.6259078060531	10.388388141243	0	0
ENSG00000254772	10.1450326763965	9.56594093370237	0	0
ENSG00000243509	10.06125526935	1.26280172483013	0	0
ENSG00000139574	10.0205280915788	1.22276399719404	0	0
ENSG00000162747	9.64767948667289	10.7580795259313	0	0
ENSG00000223609	9.59639311580635	13.9982830436959	0	0
ENSG00000106006	-8.85612267806126	0.0332379268069336	0	0
ENSG00000216490	8.64818611099379	9.97567838059537	0	0
ENSG00000151967	-8.60793239040165	0.495511723707906	0	0
ENSG00000173110	8.54341806276675	8.99669195902304	0	0
ENSG00000058673	-8.43257170372354	4.29683868157026	0	0
ENSG00000152580	-8.35155765849074	2.93433327033003	0	0
ENSG00000152192	-8.33649035472718	1.62467184767934	0	0
ENSG00000171509	-8.28981467389071	0.685823933348852	0	0
ENSG00000142684	-8.27817776977408	-2.05697470225841	0	0
ENSG00000129226	8.22011600418901	8.48316320806738	0	0
ENSG00000183336	8.15376832263162	-0.587222028648051	0	0
ENSG00000147145	-8.06303434962681	-0.148281212776633	0	0
ENSG00000278677	-7.97759123510988	-2.60313258534145	0	0
ENSG00000126262	7.96361804495913	8.3208235835372	0	0
ENSG00000157551	7.89683004543802	7.93737979683728	0	0
ENSG00000180044	-7.88339769259845	1.45832070353441	0	0
ENSG00000180871	7.81377415828324	9.70333087592656	0	0
ENSG00000007062	-7.73584561542566	3.60560869513742	0	0
ENSG00000196460	-7.70602845764067	2.24206589496211	0	0
ENSG00000213782	-7.69982379951352	0.303894419907379	0	0
ENSG00000135083	7.5952275720851	6.5693691528786	0	0
ENSG00000257315	-7.44934046554461	1.6206145157453	0	0
ENSG00000271303	7.43931683517396	6.31021482838294	0	0
ENSG00000171051	7.37284894180944	11.1991878135138	0	0
ENSG00000148926	7.3545964545791	7.76079339178358	0	0
ENSG00000115607	7.27744079576824	8.63764723852003	0	0
ENSG00000134323	-7.24840405440034	1.08797178356177	0	0
ENSG00000113389	-7.21841302456489	3.63916538895223	0	0
ENSG00000008438	7.17929404964689	7.52877483989067	0	0
ENSG00000173535	7.15568328269117	8.48167434915073	0	0
ENSG00000167419	-7.04449574171489	2.59811514126163	0	0
ENSG00000187066	-7.02826819068031	-0.944313288940789	0	0
ENSG00000154864	-6.96874536213529	0.822411610935961	0	0
ENSG00000147488	-6.95761497485829	0.981488463815816	0	0
ENSG00000262152	-6.91144924406492	-3.25231330312839	0	0
ENSG00000108511	-6.88795423581503	0.0821836989746871	0	0
ENSG00000170956	6.88474197219674	6.81740773928609	0	0
ENSG00000165072	-6.87240617662625	1.78584179358061	0	0
ENSG00000267127	-6.80337508379031	-2.82459930080251	0	0
ENSG00000270011	-6.78957458614384	-1.76626221916251	0	0
ENSG00000278505	-6.73941571270005	-2.05334068098882	0	0
ENSG00000157404	-6.69676002207559	4.42970434274072	0	0
ENSG00000212128	-6.6883530373972	-2.17278482172904	0	0
ENSG00000122592	-6.66568542391603	-0.836933343116705	0	0
ENSG00000161681	-6.66413081975248	1.6760013232149	0	0
ENSG00000120075	-6.63229713832453	-0.34199809870577	0	0
ENSG00000185201	6.62907884064129	12.1381788910412	0	0
ENSG00000180592	-6.61054441426684	0.487021815950384	0	0
ENSG00000272573	6.55319579445424	3.44764395784995	0	0
ENSG00000183850	-6.55095579664681	-1.14402529575032	0	0
ENSG00000263961	-6.54792834307731	3.44667935439736	0	0
ENSG00000122778	-6.52776267322465	1.45802178508009	0	0
ENSG00000214435	6.51303975123107	0.614009374992438	0	0
ENSG00000128040	-6.50805465071615	2.06022835618063	0	0
ENSG00000256618	-6.5079602549121	1.27630360851628	0	0
ENSG00000162849	-6.48618157912003	1.29537719170982	0	0
ENSG00000128271	6.46079065848254	6.0384338495984	0	0
ENSG00000179097	-6.44668181942414	0.119789366486682	0	0
ENSG00000149609	-6.42487228181518	-2.96139475684833	0	0
ENSG00000169906	-6.4247955729131	-3.38781129420658	0	0
ENSG00000275572	-6.42155831293589	-2.48528250177201	0	0
ENSG00000171502	-6.41447723806331	2.61442316831259	0	0
ENSG00000182108	-6.40923594419494	-1.19137533574346	0	0
ENSG00000182885	6.35167357460757	9.73978687682647	0	0
ENSG00000142513	-6.33711703236786	-1.48869874720985	0	0
ENSG00000105501	6.32479104698782	7.39693848179713	0	0
ENSG00000204682	-6.27911230259496	0.37712448194903	0	0
ENSG00000174059	-6.22515242683067	5.10540133903173	0	0
ENSG00000188738	-6.20010980519197	-0.364212144340212	0	0
ENSG00000118276	-6.17654304195258	2.54603747275925	0	0
ENSG00000206557	-6.17596037529158	1.38496808568775	0	0
ENSG00000258818	6.17070681256121	2.77689955530723	0	0
ENSG00000100191	-6.15127988734584	-2.090595753808	0	0
ENSG00000114204	-6.14981377614334	-0.0382444732443725	0	0
ENSG00000105997	-6.14541363779483	1.0568449013676	0	0
ENSG00000188153	-6.13727533373709	1.82747892445684	0	0
ENSG00000225805	-6.12488554336313	-3.49319407171706	0	0
ENSG00000135436	-6.08322903448397	0.0485370662280531	0	0
ENSG00000005108	-6.0645174238806	0.960836773262643	0	0
ENSG00000179055	-6.0166249490675	-3.30725528170677	0	0
ENSG00000219200	6.00204041768687	8.16248807289342	0	0
ENSG00000270394	-5.99735331911295	-3.61325243868584	0	0
ENSG00000117407	-5.98556570957734	0.259260857051063	0	0
ENSG00000242715	-5.97873501982163	-0.667736816171737	0	0
ENSG00000154188	-5.97599575222376	3.01078760134489	0	0
ENSG00000266074	-5.94137987737031	5.12687540236565	0	0
ENSG00000115474	-5.9030661720396	-0.81258087227847	0	0
ENSG00000170296	5.86723451808791	9.36862925597583	0	0
ENSG00000007372	-5.85030310278286	-1.19745569636278	0	0
ENSG00000198795	-5.8329100303726	1.88392400202285	0	0
ENSG00000205592	-5.8199337645843	-0.185882870574811	0	0
ENSG00000184434	-5.81635457189782	-1.41884526655937	0	0
ENSG00000165078	-5.81550958440668	-1.62333432156708	0	0
ENSG00000173894	-5.81311805318362	1.98819153669716	0	0
ENSG00000102287	-5.81199698648441	2.06272371745686	0	0
ENSG00000262209	-5.8055655168185	-1.34777768179478	0	0
ENSG00000163106	-5.79417249324077	1.2199238708938	0	0
ENSG00000257949	5.77807645471583	3.41950192636895	0	0
ENSG00000177990	-5.73532275468304	1.63942936665503	0	0
ENSG00000163632	-5.72001970133249	-2.14233757299733	0	0
ENSG00000124780	-5.71205144804405	0.672678067309283	0	0
ENSG00000121005	-5.70985866914722	-0.0282926266225342	0	0
ENSG00000185883	5.67991424367621	8.95762826449723	0	0
ENSG00000244476	-5.67500678885033	-0.685787371820183	0	0
ENSG00000145337	-5.67481938142804	-1.5750289843205	0	0
ENSG00000205307	5.66452785232047	5.89683171424777	0	0
ENSG00000253910	-5.6621896332506	-0.830973747737105	0	0
ENSG00000147059	-5.65279847524012	-1.59155815330718	0	0
ENSG00000146858	-5.64665404679421	0.566102238298239	0	0
ENSG00000185958	-5.62922681232307	-0.479883631998375	0	0
ENSG00000251322	-5.62522044495985	3.41436237909147	0	0
ENSG00000204577	5.61583715311912	9.13980895845206	0	0
ENSG00000139351	-5.61386811832187	-0.347372429435747	0	0
ENSG00000162391	-5.61272947696673	-1.74860677714556	0	0
ENSG00000172260	-5.60136866678397	2.17157799902882	0	0
ENSG00000088882	-5.59537679370151	3.63830189442798	0	0
ENSG00000182196	5.57444322324591	6.0187941347419	0	0
ENSG00000233436	-5.56571712512531	-0.169924806961039	0	0
ENSG00000205929	-5.56323946818179	-1.85073889643924	0	0
ENSG00000267710	-5.53969644017314	-0.0184291682076371	0	0
ENSG00000225526	-5.52922667853319	-0.925936007041981	0	0
ENSG00000256188	-5.52828045936191	-1.6465888529226	0	0
ENSG00000106004	-5.52346174590233	1.51350665621399	0	0
ENSG00000174776	-5.51966260928183	0.826441069534083	0	0
ENSG00000251692	-5.50540793140209	-0.47459870676701	0	0
ENSG00000183496	-5.4877871336334	1.59220114929469	0	0
ENSG00000230778	-5.46935701028517	-2.65385538704083	0	0
ENSG00000057704	5.46432429586204	6.17621707171907	0	0
ENSG00000270188	-5.46418485453656	-3.23882353297759	0	0
ENSG00000164116	-5.46039914003098	3.1686990688457	0	0
ENSG00000196666	-5.45004058365649	-1.3485636414013	0	0
ENSG00000113525	-5.44186404786153	-3.32040709700829	0	0
ENSG00000164929	-5.44014595125357	2.70454999168713	0	0
ENSG00000145975	-5.42825018416269	-2.26759352049334	0	0
ENSG00000198185	-5.42803909258158	0.162178318718497	0	0
ENSG00000106823	-5.42547605934305	0.799851266944128	0	0
ENSG00000172247	-5.41097647758773	2.11810626873889	0	0
ENSG00000117400	-5.40748802835236	1.35066032112936	0	0
ENSG00000081923	-5.40471363436677	1.77955687926369	0	0
ENSG00000267368	5.40441741137699	4.06306398739714	0	0
ENSG00000133105	-5.4014439850527	0.736558617753797	0	0
ENSG00000136371	5.3975078091041	5.35256508365001	0	0
ENSG00000116703	-5.38176313054494	-2.80005575069139	0	0
ENSG00000088305	-5.37995086099561	2.20073130861255	0	0
ENSG00000159307	-5.33764739656204	1.79971665000995	0	0
ENSG00000188626	-5.33704916179237	-0.797429120245428	0	0
ENSG00000121318	-5.33394698766861	-2.48021884795596	0	0
ENSG00000187942	-5.31979736486403	0.876866193816108	0	0
ENSG00000187838	5.31905495062644	5.23061234902121	0	0
ENSG00000228049	5.31751168158955	-0.447862195261665	0	0
ENSG00000242419	-5.30642098212761	-2.02970395515589	0	0
ENSG00000256892	-5.28513595854955	-3.86926908366889	0	0
ENSG00000165300	-5.28273237502825	0.337483196914384	0	0
ENSG00000164707	-5.27483372752491	0.247171737497884	0	0
ENSG00000171877	-5.2745810732971	-0.372694182506497	0	0
ENSG00000115850	-5.27349155122345	-1.23644970351402	0	0
ENSG00000255374	-5.27201286877981	-2.18128337080914	0	0
ENSG00000170891	-5.25588997241826	2.59403805607718	0	0
ENSG00000151726	5.25547595827531	11.1653196611755	0	0
ENSG00000163705	-5.25443740727459	-2.93883517847777	0	0
ENSG00000240972	-5.25205709384175	0.8641029652446	0	0
ENSG00000110076	-5.24971044457522	2.71944776723796	0	0
ENSG00000172780	5.23433684102365	5.53557415765767	0	0
ENSG00000162032	5.22673215380217	5.04026376084364	0	0
ENSG00000118513	-5.21972790650454	5.18397097456135	0	0
ENSG00000198075	-5.18466596198098	-0.474489519001162	0	0
ENSG00000253767	-5.18301987237118	-2.32306837328072	0	0
ENSG00000169752	-5.1738277435263	0.558822317194373	0	0
ENSG00000173080	-5.17240602504535	-0.800401107400434	0	0
ENSG00000177694	-5.17051197599091	-1.42659331226876	0	0
ENSG00000178021	-5.16597467745858	-2.47073681490955	0	0
ENSG00000242950	-5.15985608186881	-1.1497607019197	0	0
ENSG00000106484	-5.14665811665809	3.32556686817893	0	0
ENSG00000243708	5.14303856587763	5.00905138499003	0	0
ENSG00000166333	5.13802199270258	6.87587673090015	0	0
ENSG00000152990	-5.13642110519673	2.08142743691149	0	0
ENSG00000128833	-5.1339048987888	1.89670043895989	0	0
ENSG00000105835	5.13000193005781	10.8499067450695	0	0
ENSG00000253293	-5.12750721622593	1.37604005104689	0	0
ENSG00000109163	-5.12518396360368	-2.33578690704899	0	0
ENSG00000276600	-5.11749630093778	2.42335532535354	0	0
ENSG00000198858	5.11703721019261	10.1900456798301	0	0
ENSG00000204195	-5.10653997427607	-3.62302900988717	0	0
ENSG00000213658	5.09963206944345	5.27922101040457	0	0
ENSG00000185885	5.08945730246534	8.42050238257967	0	0
ENSG00000171217	-5.0780638640098	-1.24931531841954	0	0
ENSG00000187144	-5.07032629383517	-1.83027354219035	0	0
ENSG00000120210	-5.05102860949755	-1.81801809856609	0	0
ENSG00000236699	-5.04302481016069	-2.44897221832863	0	0
ENSG00000168263	-5.04225078576243	-2.76147784199084	0	0
ENSG00000230358	-5.03508946708149	-1.88503104287411	0	0
ENSG00000078399	-5.02451214867873	2.43533802396129	0	0
ENSG00000226761	-5.02109510384914	-2.44150200550324	0	0
ENSG00000147180	-5.01789386798954	1.25171840608743	0	0
ENSG00000213160	-5.00038566801973	1.05324903266037	0	0
ENSG00000197275	-4.99798122368518	-1.12284962578981	0	0
ENSG00000243414	4.99759091796084	2.259268906542	0	0
ENSG00000196081	-4.99484351086196	-0.189720232911378	0	0
ENSG00000105810	-4.97393637809938	6.42055542153427	0	0
ENSG00000035664	4.97357628189283	6.31101734971047	0	0
ENSG00000077935	-4.96594786167928	-0.950493793029342	0	0
ENSG00000102098	-4.96472196493607	1.61017109219864	0	0
ENSG00000134551	-4.96072029918944	-2.67824593178843	0	0
ENSG00000188771	-4.94242762883374	-3.00039169909322	0	0
ENSG00000102128	-4.93331662360161	-3.42803083052304	0	0
ENSG00000212126	-4.9215227349349	-2.7503478544924	0	0
ENSG00000170262	-4.91867925815708	-3.4428375172096	0	0
ENSG00000196329	4.91214678738075	5.94410987153772	0	0
ENSG00000124766	-4.90886418531315	4.67500464729531	0	0
ENSG00000152104	-4.90462792714238	1.62917696024564	0	0
ENSG00000205978	-4.8935911705843	2.33665885699104	0	0
